Name,Quantity,Weight
Leather chest piece,1,0.0
Leather left arm,1,0.0
Leather right arm,1,0.0
Leather left leg,1,0.0
Leather right leg,1,0.0
Leather chest piece,1,0.0
Leather chest piece,1,5.0
Sturdy leather chest piece,1,9.9
Heavy leather chest piece,1,14.8
Leather arms,1,0.0
Leather arm,1,2.0
Sturdy leather arm,1,4.6
Heavy leather arm,1,7.2
Leather legs,1,0.0
Leather leg,1,2.0
Sturdy leather leg,1,4.6
Heavy leather leg,1,7.2
Total of set,1,0.0
Normal,1,13.0
Sturdy,1,28.3
Heavy,1,43.6
Metal helmet,1,0.0
Metal chest piece,1,0.0
Metal left arm,1,0.0
Metal right arm,1,0.0
Metal left leg,1,0.0
Metal right leg,1,0.0
Metal helmet,1,3.0
Metal chest piece,1,0.0
Metal chest piece,1,6.0
Sturdy metal chest piece,1,15.5
Heavy metal chest piece,1,23.1
Metal arms,1,0.0
Metal arm,1,3.0
Sturdy metal arm,1,7.9
Heavy metal arm,1,12.8
Metal legs,1,0.0
Metal leg,1,3.0
Sturdy metal leg,1,7.9
Heavy metal leg,1,12.8
Total of set,1,0.0
Normal,1,18.0
Sturdy,1,47.1
Heavy,1,74.3
Combat armor helmet,1,4.0
Combat armor chest piece,1,0.0
Combat armor chest piece,1,8.0
Sturdy combat armor chest piece,1,11.7
Heavy combat armor chest piece,1,15.5
Combat armor left arm,1,0.0
Combat armor left arm,1,2.0
Sturdy combat armor left arm,1,4.5
Heavy combat armor left arm,1,7.0
Combat armor right arm,1,0.0
Combat armor right arm,1,2.0
Sturdy combat armor right arm,1,4.5
Heavy combat armor right arm,1,7.0
Combat armor left leg,1,0.0
Combat armor left leg,1,2.0
Sturdy combat armor left leg,1,4.5
Heavy combat armor left leg,1,9.0
Combat armor right leg,1,0.0
Combat armor right leg,1,4.0
Sturdy combat armor right leg,1,6.5
Heavy combat armor right leg,1,9.0
Total of Set,1,0.0
Normal,1,18.0
Sturdy,1,31.7
Heavy,1,51.5
Synth helmet,1,0.0
Synth field helmet,1,0.0
Synth chest piece,1,0.0
Synth left arm,1,0.0
Synth right arm,1,0.0
Synth left leg,1,0.0
Synth right leg,1,0.0
Synth helmets,1,0.0
Synth helmet,1,3.0
Synth field helmet,1,3.0
Synth chest piece,1,0.0
Synth chest piece,1,7.0
Sturdy synth chest piece,1,12.0
Heavy synth chest piece,1,17.0
Synth arms,1,0.0
Synth arm,1,3.0
Sturdy synth arm,1,7.0
Heavy synth arm,1,10.0
Synth legs,1,0.0
Synth leg,1,3.0
Sturdy synth leg,1,7.0
Heavy synth leg,1,10.0
Total of set,1,0.0
Normal,1,19.0
Sturdy,1,40.0
Heavy,1,57.0
DC guard helmets,1,0.0
DC guard helm,1,1.0
DC guard heavy helmet,1,1.0
DC guard chest,1,0.0
DC guard umpire's pads,1,4.0
DC guard arms,1,0.0
DC guard left arm armor,1,2.0
DC guard right arm armor,1,2.0
DC guard left shoulder,1,1.0
DC guard right shoulder,1,1.0
DC guard left forearm,1,1.0
DC guard right forearm,1,1.0
Vault security helmets,1,0.0
Vault-Tec security helmet (clean),1,2.0
Vault-Tec security helmet (dirty),1,2.0
Security helmet,1,2.0
Vault security armor,1,0.0
Vault 81 security armor (dirty),1,7.5
Vault-Tec security armor (Vault 111 dirty),1,7.5
Vault-Tec security armor (Vault 111 clean),1,5.5
Covenant security armor,1,3.0
Assaultron helmet,1,0.0
Eyebot helmet,1,0.0
