Name,Quantity,Weight
Anti-materiel rifle,50,2.0
Assault rifle,30,40.0
CR-74L,33,41.0
Combat rifle,33,33.0
Combat rifle,33,41.0
Combat rifle,55,90.0
Gauss rifle,110,66.0
Gauss rifle,192,66.0
Prototype Gauss rifle,100,6.0
Handmade rifle,32,40.0
Handmade rifle,57,59.0
Handmade rifle,41,113.0
Hunting rifle,37,3.0
Hunting rifle,37,3.0
Hunting rifle,64,4.0
Hunting rifle,37,3.0
Lever-action rifle,35,5.0
Lever-action rifle,35,5.0
Lever-action rifle,70,5.0
Manwell rifle set,69,33.0
Manwell rifle set,90,33.0
Radium rifle,1,40.0
Radium rifle,27,40.0
Radium rifle,27,40.0
Railway rifle,100,10.0
Railway rifle,1,2.0
Submachine gun,10,127.0
Submachine gun,10,127.0
Submachine gun,31,127.0
Syringer,1,2.0
Combat shotgun,100,47.0
Justice,100,35.0
Le Fusil Terribles,124,71.0
Double-barrel shotgun,162,47.0
Handmade shotgun,162,47.0
Triple-barrel handmade shotgun,180,47.0
Pipe bolt-action,6,95.0
Pipe gun,71,83.0
Pipe revolver,14,83.0
Fat Man,89,117.0
Big Boy,1,117.0
The Striker,1,117.0
Nuka-nuke launcher,1,117.0
Flamer,108,47.0
Sergeant Ash,117,47.0
Harpoon gun,1,143.0
Admiral's Friend,1,143.0
Skipper's Last Stand,1,143.0
Defender's Harpoon Gun,1,143.0
Heavy incinerator,175,23.0
Junk Jet,1,119.0
Minigun,217,131.0
Ashmaker,281,77.0
Missile launcher,1,203.0
Partystarter,1,191.0
Death From Above,1,203.0
Broadsider,1,203.0
Cryolator,180,71.0
Paddle ball,1,11.0
Institute laser,99,71.0
Virgil's rifle,217,227.0
Laser musket,18,71.0
Laser gun,120,71.0
Old Faithful,145,71.0
Survivor's Special,19,47.0
Protectron's Gaze,307,47.0
Good Intentions,237,194.0
"Prototype UP77 ""Limitless Potential""",120,227.0
Righteous Authority,130,203.0
Salvaged Assaultron head,1,93.0
Wazer Wifle,275,302.0
Gatling laser,380,203.0
Final Judgment,476,203.0
Aeternus,355,251.0
Plasma gun,115,119.0
Experiment 18-A,680,203.0
Sentinel's Plasmacaster,270,119.0
Alien atomizer,540,155.0
Alien blaster pistol,500,119.0
Hub's Alien Blaster,580,149.0
Alien disintegrator,220,155.0
BFG 9000,1,11.0
Cosmic cannon,1,77.0
Cryolator,180,71.0
Solar cannon,104,155.0
Tesla cannon,120,395.0
Tesla rifle,152,83.0
Thirst Zapper,1,0.0
Thunderbolt,1,0.0
Gamma gun,121,119.0
Lorenzo's Artifact gun,38,203.0
Zeta gun,62,119.0
Acid Soaker,1,35.0
Baseball grenade,1,40.0
Cryogenic grenade,1,50.0
Fragmentation grenade,1,50.0
Fragmentation grenade MIRV,1,75.0
Smart fragmentation grenade,1,60.0
HalluciGen gas grenade,1,35.0
Fury grenade,1,35.0
Persuasion grenade,1,35.0
Predator grenade,1,35.0
Homing beacon,1,0.0
Institute EM pulse grenade,1,100.0
Molotov cocktail,1,20.0
Nuka grenade,1,100.0
Nuka Cherry grenade,1,50.0
Nuka Quantum grenade,1,50.0
Plasma grenade,1,135.0
Pulse grenade,1,100.0
Bottlecap mine,1,75.0
Cryo mine,1,50.0
Fragmentation mine,1,50.0
Nuke mine,1,100.0
Plasma mine,1,100.0
Pulse mine,1,100.0
Artillery smoke grenade,1,0.0
Institute beacon,1,0.0
Synth relay grenade,1,50.0
Vertibird signal grenade,1,10.0
Assaultron blade,19,0.0
Chinese officer sword,18,0.0
General Chao's Revenge,34,0.0
Sword of Wonders,1,0.0
Zao's sword,22,0.0
Combat knife,11,0.0
Serrated combat knife,1,0.0
Stealth blade combat knife,1,0.0
Pickman's Blade,1,0.0
Disciples blade,1,0.0
Throatslicer,1,0.0
Grognak's axe,1,0.0
